row_id,opportunity_id,opportunity_name,source_actor_name,source_actor_type,instrument_type,geographic_scope,sector_scope,status,application_window,source_url,provider_actor_id,notes_internal,last_updated_at,doc_source,duplicate_group_id,duplicate_decision,eligible_actor_types_array,gpc_sector_array,gpc_subsector_array,gpc_sector_raw
12,CHL_ED_019,Subt 24. A Otras Entidades Públicas (03). Aplicación Plan de Acción de Eficiencia Energética (006),Subsecretaría de Energía,national_government,grant,chile national,energy,recurring,,,,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 245 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,11,son lo mismo,"[""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
14,CHL_ED_021,Subt 24. A otras entidades públicas. A Otras Entidades Públicas (03),Subsecretaría de Energía,national_government,grant,chile national,buildings,recurring,,,,"- Vínculo ED: En el contexto de transición energética justa, y en específico el cierre de centrales a ca ; - Barrera: Falta de terrenos para central térmica",2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx,,,"[""private"", ""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings""]",Stationary Energy – Commercial/Public Buildings
15,CHL_ED_022,Subt 33. Al Sector Privado (01). Subsidio Fijo a la Construcción (004),Subsecretaría de Redes Asistenciales,national_government,grant,chile national,"buildings, energy",recurring,,,,- Vínculo ED: Esta fuente de financiamiento puede apalancar recursos para la construcción de pilotos de | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias de capital | monto: 99.760 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,143,son lo mismo,"[""private""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings"", ""Stationary Energy – Energy Supply""]","Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply"
16,CHL_ED_023,Subt 33. Al Sector Privado (01). Subsidio Fijo Equipamiento (005),Subsecretaría de Redes Asistenciales,national_government,grant,chile national,"buildings, energy",recurring,,,,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias de capital | monto: 21.854 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,12,son lo mismo,"[""private""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings"", ""Stationary Energy – Energy Supply""]","Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply"
17,CHL_ED_024,Subt 31. Proyectos (02),Subsecretaría de Redes Asistenciales,national_government,grant,chile national,"buildings, energy",recurring,,,,- Vínculo ED: Esta fuente de financiamiento puede apalancar recursos para la construcción de pilotos de | - Barrera: Falta de proyectos piloto | Tabla 2.1 | tipo original: Transferencias de capital | monto: 709.260 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,13,son lo mismo,"[""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings"", ""Stationary Energy – Energy Supply""]","Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply"
18,CHL_ED_025,Subt 24. A otras entidades públicas. A Otras Entidades Públicas (03). Desarrollo Productivo Sostenible (030),Ministerio del Medio Ambiente,national_government,grant,chile national,"energy, cross_sector",recurring,,,ACTOR_MMA,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 6.867 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,14,son lo mismo,"[""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply"", ""Stationary Energy – Industry""]","Stationary Energy – Energy Supply, Stationary Energy – Industry, Stationary Energy"
19,CHL_ED_026,Subt 24. Al otras entidades públicas (03). Comisión del Sistema Nacional de Certificación de Competencias Laborales (261),Subsecretaría del Trabajo,national_government,technical_assistance,chile national,energy,recurring,,,,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 1.966 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,15,son lo mismo,"[""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
20,CHL_ED_027,Subt 24. Al otras entidades públicas (03). Programa Inversión en la Comunidad (264),Subsecretaría del Trabajo,national_government,grant,chile national,energy,recurring,,,,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 14.103 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,16,son lo mismo,"[""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
21,CHL_ED_028,"Subt 24. Al sector privado (01), Becas (003)",Servicio Nacional de Capacitación y Empleo,national_government,technical_assistance,chile national,energy,recurring,,,,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Financiar becas de capacitación | En el entendido que esto va a financiar programas en alianza con terceros (INDAP) | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 1.182 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,17,son lo mismo,"[""other"", ""private""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
22,CHL_ED_029,"Subt 24. Al sector privado (01), Certificación de Competencias Laborales (270)",Servicio Nacional de Capacitación y Empleo,national_government,technical_assistance,chile national,energy,recurring,,,,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 2.068 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,18,son lo mismo,"[""other"", ""private""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
23,CHL_ED_030,"Subt 24. Al Sector privado (01), Programa de Formación en el Puesto de Trabajo",Servicio Nacional de Capacitación y Empleo,national_government,grant,chile national,energy,recurring,,,,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Financiar programas de capacitación, becas laborales, subsidios a empleadores y a la intermediación laboral. | Tabla 2.1 | tipo original: Transferencias corrientes | monto: 334.327 MM$.",2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,19,son lo mismo,"[""other"", ""private""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
24,CHL_ED_031,Academia de Capacitación Municipal y Regional,SUBDERE,national_government,technical_assistance,"chile national, chile regional, chile comunal","buildings, cross_sector",recurring,,,ACTOR_SUBDERE,- Vínculo ED: Esta fuente de financiamiento permite crear y financiar diplomados y cursos según las prio | - Barrera: Falta de capacidad técnica en organismos incumbentes | Tabla 2.2 | tipo original: Programa.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,20,son lo mismo,"[""municipal"", ""public_agency"", ""regional""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings""]","Stationary Energy – Commercial/Public Buildings, Stationary Energy"
25,CHL_ED_032,GAFFICOR,SUBDERE,national_government,technical_assistance,"chile national, chile regional, chile comunal","energy, cross_sector",recurring,,,ACTOR_SUBDERE,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Alto costo de desarrollo de proyectos en etapas de pre-inversion | Se creó la gobernanza del grupo de acción y financiamiento climático comunal y regional – GAFICCOR - para gene | Aplicable en terminos generales. | Tabla 2.2 | tipo original: Programa.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,21,son lo mismo,"[""municipal"", ""national"", ""public_agency"", ""regional""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]","Stationary Energy – Energy Supply, Stationary Energy"
26,CHL_ED_033,Municipalidades (prestamos),SUBDERE,national_government,loan,"chile national, chile comunal, chile regional","buildings, energy",recurring,,,ACTOR_SUBDERE,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Alto costo de desarrollo de proyectos en etapas de pre-inversion | Tabla 2.1 | tipo original: Transferencia Corrientes | monto: 5.668 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,22,son lo mismo,"[""municipal""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings"", ""Stationary Energy – Energy Supply""]","Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply"
27,CHL_ED_034,Municipalidades (Programa Mejoramiento de Barrios),SUBDERE,national_government,grant,"chile national, chile comunal, chile regional","buildings, energy, cross_sector",recurring,,https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-35324.html,ACTOR_SUBDERE,- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Alto costo de desarrollo de proyectos en etapas de pre-inversion | Tabla 2.1 | tipo original: Transferencia de Capital | monto: 56.612 MM$.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,23,son lo mismo,"[""municipal"", ""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Commercial/Public Buildings"", ""Stationary Energy – Energy Supply"", ""Stationary Energy – Residential Buildings""]","Stationary Energy – Residential Buildings, Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply"
28,CHL_ED_035,Fondo de Apoyo Contingencia Regional,SUBDERE,national_government,grant,"chile national, chile regional, chile nacional, chile comunal","buildings, energy, cross_sector",recurring,,https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-35324.html,ACTOR_SUBDERE,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | Financia necesidades contingentes regionales. Usos citados: energía, residuos, infraestructura rural, recuperación de espacios públicos, cambio climático, biodiversidad y gestión de riesgos. | Tabla 2.1 | tipo original: Transferencia de Capital | monto: 36.987 MM$. | p. 19 | listado en Programas de SUBDERE",2026-03-19,"B1. Copy of Programas de Financiamiento - informe 2.xlsx | I7. Copy of Informe 3_IDB PACCC Mejillones y La Higuera (v2)_ENVIADO (1).docx | I10. Copy of 23071 Informe final v2 - issued.docx | G3. Copy of FINANCIAMIENTO-CLIMATICO.pdf, p. 19 :contentReference[oaicite:30]{index=30} | estructura: Funding Database (Vocabulary).docx :contentReference[oaicite:31]{index=31}",24,son lo mismo,"[""municipal"", ""ngo"", ""public_agency"", ""regional""]","[""AFOLU"", ""Stationary Energy"", ""Waste""]","[""Stationary Energy – Commercial/Public Buildings"", ""Stationary Energy – Energy Supply""]","Stationary Energy – Commercial/Public Buildings, Stationary Energy – Energy Supply, Stationary Energy, Waste, AFOLU"
29,CHL_ED_036,Cooperación Sur-Sur,Agencia Chilena de Cooperación Internacional para el Desarrollo,national_government,technical_assistance,"chile national, latin america",energy,recurring,,https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-35324.html,,"- Vínculo ED: Financiamiento podría incluir energía distrital | - Barrera: Falta de capacidad técnica en organismos incumbentes | todo tipo de gastos, directamente o mediante subcontratación con instituciones públicas o privadas, incluido e | definir el alcance, si solo se debe identificar inversión directa es | Tabla 2.1 | tipo original: Transferencias Corrientes | monto: 3.918 MM$.",2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,25,son lo mismo,"[""academia"", ""national"", ""private"", ""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]",Stationary Energy – Energy Supply
30,CHL_ED_037,Crédito Verde CORFO,CORFO,national_government,concessional_loan,chile national,"energy, waste",open,Rolling,https://www.corfo.cl/sites/cpp/convocatorias/credito_verde,ACTOR_CORFO,"- Vínculo ED: Permitiría financiar la implementación de un proyecto de energía distrital. | - Barrera: Alta percepción de riesgo de inversionistas y desarrolladores | Programa de financiamiento, a través de instituciones financieras participantes, para potenciar el desarrollo | aplicable por economia circular | Tabla 2.2 | tipo original: Instrumento.",2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | B3. Copy of ODEPA Financiamiento Medidas de Mitigación.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,26,son lo mismo,"[""private""]","[""Stationary Energy"", ""Waste""]","[""Stationary Energy – Energy Supply"", ""Stationary Energy – Industry""]","Stationary Energy – Energy Supply, Stationary Energy – Industry, Stationary Energy, Waste"
31,CHL_ED_038,FT: etapas tempranas,CORFO,national_government,equity,chile national,energy,recurring,,https://www.corfo.cl/sites/cpp/movil/if_programas-capital-riesgo,ACTOR_CORFO,- Vínculo ED: Permitiría financiar la implementación de un proyecto de energía distrital. ; - Barrera: Alta percepción de riesgo de inversionistas y desarrolladores,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx,,,"[""private""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply"", ""Stationary Energy – Industry""]","Stationary Energy – Energy Supply, Stationary Energy – Industry"
32,CHL_ED_039,Innova Chile,CORFO,national_government,grant,chile national,"energy, cross_sector",recurring,,,ACTOR_CORFO,- Vínculo ED: Podría destinarse presupuesto a energía distrital | - Barrera: Alta percepción de riesgo de inversionistas y desarrolladores | Tabla 2.2 | tipo original: Programa.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,27,son lo mismo,"[""private"", ""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]","Stationary Energy – Energy Supply, Stationary Energy"
33,CHL_ED_040,Fortalecimiento de Institutos Tecnológicos Públicos,CORFO,national_government,technical_assistance,chile national,"energy, cross_sector",open,,https://www.corfo.cl/sites/cpp/convocatorias/fortalecimiento_institutos_tecnologicos_publicos;jsessionid=-qrWXilF9DrYea3798cwyKX6znWdiaMBWVRZR2BNmdBfZxlE1yS0!-165365799!NONE,ACTOR_CORFO,- Vínculo ED: Posible financiamiento para la AgenciaSE para poder funcionar como una oficina de apoyo a | - Barrera: Falta de capacidad técnica en organismos incumbentes | Sección 5.2 | barrera: Falta de capacidad técnica local para el desarrollo de los proyectos | vínculo ED: Este instrumento podría apoyar en el desarrollo de un ITL u otro Centro Tecnológico especializado en Energía Distrital.,2026-03-19,B1. Copy of Programas de Financiamiento - informe 2.xlsx | I10. Copy of 23071 Informe final v2 - issued.docx,28,son lo mismo,"[""academia"", ""ngo"", ""public_agency""]","[""Stationary Energy""]","[""Stationary Energy – Energy Supply""]","Stationary Energy – Energy Supply, Stationary Energy"
